Percentiles,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
10th,"2,779","2,500","2,500","2,400","2,100","2,028","2,082","2,028","2,000","2,000","2,000","1,950","1,826","1,800","1,736","1,600","1,500","1,500","1,400","1,320","1,300","1,300","1,250","1,300","1,383","1,399",
20th,"4,628","4,354","4,166","3,973","3,600","3,500","3,597","3,539","3,500","3,490","3,400","3,250","3,051","3,029","2,861","2,600","2,491","2,482","2,166","2,041","2,000","2,000","1,986","2,000","2,000","2,000",
30th,"6,501","6,106","5,936","5,460","5,065","4,979","5,050","4,996","4,982","4,875","4,771","4,558","4,301","4,208","3,953","3,560","3,358","3,399","3,000","2,805","2,732","2,630","2,600","2,578","2,658","2,624",
40th,"8,498","8,000","7,734","7,090","6,700","6,445","6,612","6,492","6,400","6,215","6,106","5,925","5,562","5,393","5,026","4,580","4,333","4,363","3,903","3,570","3,500","3,329","3,257","3,250","3,364","3,263",
50th,"10,591","9,999","9,646","8,904","8,421","8,092","8,333","8,169","7,956","7,791","7,624","7,400","7,000","6,712","6,286","5,704","5,398","5,475","4,883","4,495","4,345","4,106","4,050","4,038","4,141","4,000",
60th,"12,993","12,192","11,850","10,980","10,388","10,000","10,229","10,000","9,784","9,524","9,388","9,067","8,658","8,235","7,700","7,021","6,649","6,840","6,013","5,492","5,366","5,040","5,000","5,000","5,100","4,883",
70th,"16,075","15,196","14,672","13,708","12,916","12,446","12,620","12,384","12,171","11,730","11,582","11,157","10,663","10,219","9,529","8,725","8,303","8,461","7,479","6,798","6,655","6,303","6,128","6,166","6,337","5,997",
80th,"20,312","19,281","18,699","17,605","16,372","15,965","16,225","15,799","15,537","14,935","14,775","14,234","13,539","13,045","12,328","11,189","10,675","10,787","9,682","8,766","8,513","8,018","7,910","7,899","8,125","7,583",
90th,"27,672","26,666","25,722","24,473","22,513","22,550","22,816","22,300","21,721","20,934","21,041","20,249","19,211","18,439","17,485","16,057","15,066","15,763","13,790","12,500","12,065","11,400","11,181","10,939","11,488","10,596",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,